"Start Time","Track","Series","Hosted Session Name"
"2018.08.28 6:10 PM GMT","Phillip Island Circuit","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","93","Ferrari 488 GTE","0","Hosted All Cars Class","233966","233966","Josef Fällgren","1","10","0","Running","-00.000","32","","1:25.054","1:23.270","2","32","3","0","100","0"
"2","92","Ford GT - 2017","0","Hosted All Cars Class","229541","229541","Carl E Jansson","4","92","0","Running","-11.109","0","","1:25.402","1:23.384","2","32","8","0","100","0"
"3","92","Ford GT - 2017","0","Hosted All Cars Class","155240","155240","Robin Sundkvist","3","4","0","Running","-12.130","0","","1:25.433","1:23.470","4","32","4","0","100","0"
"4","102","Porsche 911 RSR","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","2","82","0","Running","-14.227","0","","1:25.499","1:23.550","2","32","2","0","100","0"
"5","93","Ferrari 488 GTE","0","Hosted All Cars Class","292923","292923","Stellan Lindeberg","5","968","0","Running","-18.212","0","","1:25.623","1:23.308","2","32","2","0","100","0"
"6","102","Porsche 911 RSR","0","Hosted All Cars Class","290742","290742","Magnus Vallström","6","666","0","Running","-25.097","0","","1:25.839","1:23.603","2","32","0","0","100","0"
"7","102","Porsche 911 RSR","0","Hosted All Cars Class","129837","129837","Tobias olsson2","11","91","0","Running","-27.090","0","","1:25.901","1:24.044","14","32","12","0","100","0"
"8","93","Ferrari 488 GTE","0","Hosted All Cars Class","37785","37785","Jonas Bodin","8","177","0","Running","-34.859","0","","1:26.144","1:23.581","2","32","2","0","100","0"
"9","93","Ferrari 488 GTE","0","Hosted All Cars Class","59177","59177","Andreas Olsson","12","15","0","Running","-38.971","0","","1:26.272","1:23.957","2","32","3","0","100","0"
"10","102","Porsche 911 RSR","0","Hosted All Cars Class","138213","138213","Victor Dravegard","9","23","0","Running","-43.172","0","","1:26.403","1:24.014","2","32","7","0","100","0"
