"Start Time","Track","Series","Hosted Session Name"
"2018.11.13 7:10 PM GMT","Circuit de Spa-Francorchamps - Grand Prix Pits","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","93","Ferrari 488 GTE","0","Hosted All Cars Class","293441","293441","Andreas Dahlström","1","16","0","Running","-00.000","19","","2:17.844","2:15.088","2","20","7","0","100","0"
"2","102","Porsche 911 RSR","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","2","82","0","Running","-09.366","0","","2:18.313","2:15.843","4","20","10","0","100","0"
"3","93","Ferrari 488 GTE","0","Hosted All Cars Class","292923","292923","Stellan Lindeberg","5","968","0","Running","-14.050","0","","2:18.547","2:15.941","4","20","12","0","100","0"
"4","93","Ferrari 488 GTE","0","Hosted All Cars Class","37785","37785","Jonas Bodin","3","177","0","Running","-16.576","1","","2:18.673","2:15.598","3","20","15","0","100","0"
"5","93","Ferrari 488 GTE","0","Hosted All Cars Class","143617","143617","Henrik Lindoff","9","27","0","Running","-19.286","0","","2:18.808","2:15.497","3","20","11","0","100","0"
"6","102","Porsche 911 RSR","0","Hosted All Cars Class","138213","138213","Victor Dravegard","8","23","0","Running","-19.869","0","","2:18.837","2:16.448","4","20","13","0","100","0"
"7","93","Ferrari 488 GTE","0","Hosted All Cars Class","48364","48364","Jesper Lindh","6","296","0","Running","-21.797","0","","2:18.934","2:15.948","2","20","15","0","100","0"
"8","92","Ford GT - 2017","0","Hosted All Cars Class","52848","52848","Rickard Allardh","12","74","0","Running","-26.721","0","","2:19.180","2:16.813","2","20","11","0","100","0"
"9","102","Porsche 911 RSR","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","14","28","0","Running","-27.811","0","","2:19.234","2:17.094","11","20","13","0","100","0"
"10","102","Porsche 911 RSR","0","Hosted All Cars Class","91787","91787","Philip Johansson","11","220","0","Running","-29.951","0","","2:19.341","2:16.589","3","20","14","0","100","0"
"11","102","Porsche 911 RSR","0","Hosted All Cars Class","266171","266171","Jonas Melin","18","76","0","Running","-31.484","0","","2:19.418","2:16.539","3","20","5","0","100","0"
"12","93","Ferrari 488 GTE","0","Hosted All Cars Class","80693","80693","Mattias Norling","15","8","0","Running","-31.753","0","","2:19.431","2:17.165","11","20","10","0","100","0"
"13","93","Ferrari 488 GTE","0","Hosted All Cars Class","210826","210826","Magnus Asp","22","2","0","Running","-35.735","0","","2:19.630","2:16.832","15","20","15","0","100","0"
"14","102","Porsche 911 RSR","0","Hosted All Cars Class","246119","246119","Tomas Andersson","10","119","0","Running","-38.436","0","","2:19.766","2:16.322","3","20","11","0","100","0"
"15","102","Porsche 911 RSR","0","Hosted All Cars Class","115216","115216","Karl-Johan Hagelin","23","214","0","Running","-44.349","0","","2:20.061","2:16.802","2","20","15","0","100","0"
"16","93","Ferrari 488 GTE","0","Hosted All Cars Class","184439","184439","Mikael Engström","16","11","0","Running","-49.467","0","","2:20.317","2:16.862","2","20","13","0","100","0"
