"Start Time","Track","Series","Hosted Session Name"
"2018.11.27 6:55 PM GMT","Daytona International Speedway - Road Course","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","102","Porsche 911 RSR","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","1","82","0","Running","-00.000","21","","1:43.662","1:42.742","3","21","8","0","100","0"
"2","93","Ferrari 488 GTE","0","Hosted All Cars Class","292923","292923","Stellan Lindeberg","2","968","0","Running","-00.141","0","","1:43.668","1:42.735","3","21","2","0","100","0"
"3","102","Porsche 911 RSR","0","Hosted All Cars Class","138213","138213","Victor Dravegard","3","23","0","Running","-08.483","0","","1:44.066","1:43.277","4","21","5","0","100","0"
"4","93","Ferrari 488 GTE","0","Hosted All Cars Class","143617","143617","Henrik Lindoff","5","29","0","Running","-14.868","0","","1:44.369","1:42.495","2","21","5","0","100","0"
"5","93","Ferrari 488 GTE","0","Hosted All Cars Class","48364","48364","Jesper Lindh","12","296","0","Running","-18.627","0","","1:44.548","1:43.417","3","21","4","0","100","0"
"6","93","Ferrari 488 GTE","0","Hosted All Cars Class","210826","210826","Magnus Asp","8","2","0","Running","-19.210","0","","1:44.576","1:43.818","10","21","7","0","100","0"
"7","102","Porsche 911 RSR","0","Hosted All Cars Class","124781","124781","Marcus Simonsson","7","192","0","Running","-23.831","0","","1:44.796","1:42.963","2","21","7","0","100","0"
"8","102","Porsche 911 RSR","0","Hosted All Cars Class","115216","115216","Karl-Johan Hagelin","13","214","0","Running","-24.075","0","","1:44.808","1:43.347","2","21","8","0","100","0"
"9","92","Ford GT - 2017","0","Hosted All Cars Class","216544","216544","Daniel Sollo","15","215","0","Running","-26.947","0","","1:44.944","1:43.731","4","21","10","0","100","0"
"10","102","Porsche 911 RSR","0","Hosted All Cars Class","230406","230406","Fredrik Stertman","9","87","0","Running","-26.975","0","","1:44.946","1:43.800","2","21","3","0","100","0"
"11","93","Ferrari 488 GTE","0","Hosted All Cars Class","319276","319276","Harri Kjellin","11","75","0","Running","-30.525","0","","1:45.115","1:43.623","2","21","3","0","100","0"
"12","92","Ford GT - 2017","0","Hosted All Cars Class","122653","122653","Joel Voxberg","17","21","0","Running","-32.031","0","","1:45.186","1:44.154","14","21","9","0","100","0"
"13","93","Ferrari 488 GTE","0","Hosted All Cars Class","47716","47716","Andreas Lewau","22","123","0","Running","-32.131","0","","1:45.191","1:43.928","21","21","3","0","100","0"
"14","93","Ferrari 488 GTE","0","Hosted All Cars Class","175014","175014","Joachim Ljunggren","6","64","0","Running","-32.198","0","","1:45.195","1:42.163","2","21","5","0","100","0"
"15","102","Porsche 911 RSR","0","Hosted All Cars Class","91787","91787","Philip Johansson","14","220","0","Running","-41.328","0","","1:45.629","1:43.788","6","21","6","0","100","0"
"16","93","Ferrari 488 GTE","0","Hosted All Cars Class","80693","80693","Mattias Norling","23","8","0","Running","-43.918","0","","1:45.752","1:43.796","7","21","3","0","100","0"
"17","92","Ford GT - 2017","0","Hosted All Cars Class","52848","52848","Rickard Allardh","10","74","0","Running","-48.125","0","","1:46.012","1:42.993","3","21","4","0","100","0"
"18","93","Ferrari 488 GTE","0","Hosted All Cars Class","209962","209962","Linus Areng","18","757","0","Running","-50.838","0","","1:46.082","1:43.784","5","21","7","0","100","0"
"19","92","Ford GT - 2017","0","Hosted All Cars Class","108438","108438","Kent Suroto","30","48","0","Running","-57.456","0","","1:46.396","1:44.806","17","21","0","0","100","0"
"20","102","Porsche 911 RSR","0","Hosted All Cars Class","290615","290615","Jonas Simonsson","21","3","0","Running","-59.233","0","","1:46.481","1:44.130","3","21","9","0","100","0"
"21","102","Porsche 911 RSR","0","Hosted All Cars Class","248617","248617","Anders Wallgren","25","19","0","Running","-1:09.116","0","","1:46.952","1:45.270","4","21","9","0","100","0"
"22","102","Porsche 911 RSR","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","19","28","0","Running","-1:09.600","0","","1:46.975","1:44.571","17","21","15","0","100","0"
"23","93","Ferrari 488 GTE","0","Hosted All Cars Class","64920","64920","TK Yasagac","24","321","0","Running","-1:11.356","0","","1:47.058","1:44.099","3","21","5","0","100","0"
"24","102","Porsche 911 RSR","0","Hosted All Cars Class","246119","246119","Tomas Andersson","20","119","0","Running","-1:24.413","0","","1:47.680","1:45.471","17","21","10","0","100","0"
"25","93","Ferrari 488 GTE","0","Hosted All Cars Class","131973","131973","Robert Ehrling","27","20","0","Running","-1:25.218","0","","1:47.718","1:46.140","13","21","4","0","100","0"
"26","102","Porsche 911 RSR","0","Hosted All Cars Class","298788","298788","Håkan Ågren","16","30","0","Running","-1:30.485","0","","1:47.970","1:44.592","6","21","12","0","100","0"
"27","93","Ferrari 488 GTE","0","Hosted All Cars Class","293407","293407","Pontus Nilsson","26","79","0","Running","-1:37.605","0","","1:48.308","1:45.949","8","21","7","0","100","0"
"28","102","Porsche 911 RSR","0","Hosted All Cars Class","76416","76416","Peter Johansson","31","62","0","Running","-1 L","0","","1:49.440","1:45.922","20","20","9","0","100","0"
"29","102","Porsche 911 RSR","0","Hosted All Cars Class","281548","281548","Oliver Silva Barrera","32","43","0","Running","-1 L","0","","1:48.572","1:45.516","4","20","10","0","100","0"
"30","102","Porsche 911 RSR","0","Hosted All Cars Class","233357","233357","Ola Särnkvist","29","70","0","Running","-1 L","0","","1:52.756","1:46.695","19","20","8","0","100","0"
"31","93","Ferrari 488 GTE","0","Hosted All Cars Class","324435","324435","Philip Larsson","28","18","0","Running","-1 L","0","","1:53.502","1:47.238","7","20","12","0","100","0"
"32","93","Ferrari 488 GTE","0","Hosted All Cars Class","293441","293441","Andreas Dahlström","4","16","32","Disconnected","-20 L","0","","00.000","","","1","2","0","100","0"
