"Start Time","Track","Series","Hosted Session Name"
"2018.11.27 8:35 PM GMT","Daytona International Speedway - Road Course","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","102","Porsche 911 RSR","0","Hosted All Cars Class","124781","124781","Marcus Simonsson","4","192","0","Running","-00.000","12","","1:42.472","1:41.577","2","12","3","0","100","0"
"2","93","Ferrari 488 GTE","0","Hosted All Cars Class","292923","292923","Stellan Lindeberg","9","968","0","Running","-02.977","0","","1:42.720","1:40.762","2","12","0","0","100","0"
"3","102","Porsche 911 RSR","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","10","82","0","Running","-03.027","0","","1:42.724","1:41.497","5","12","2","0","100","0"
"4","93","Ferrari 488 GTE","0","Hosted All Cars Class","175014","175014","Joachim Ljunggren","17","64","0","Running","-11.280","0","","1:43.411","1:41.992","10","12","4","0","100","0"
"5","93","Ferrari 488 GTE","0","Hosted All Cars Class","209962","209962","Linus Areng","13","757","0","Running","-11.332","0","","1:43.416","1:41.889","12","12","0","0","100","0"
"6","102","Porsche 911 RSR","0","Hosted All Cars Class","91787","91787","Philip Johansson","16","220","0","Running","-14.034","0","","1:43.641","1:42.219","10","12","2","0","100","0"
"7","93","Ferrari 488 GTE","0","Hosted All Cars Class","80693","80693","Mattias Norling","15","8","0","Running","-14.483","0","","1:43.678","1:41.814","8","12","2","0","100","0"
"8","102","Porsche 911 RSR","0","Hosted All Cars Class","115216","115216","Karl-Johan Hagelin","3","214","0","Running","-15.581","0","","1:43.771","1:42.020","11","12","5","0","100","0"
"9","92","Ford GT - 2017","0","Hosted All Cars Class","122653","122653","Joel Voxberg","19","21","0","Running","-15.640","0","","1:43.775","1:42.238","5","12","5","0","100","0"
"10","102","Porsche 911 RSR","0","Hosted All Cars Class","246119","246119","Tomas Andersson","27","119","0","Running","-20.996","0","","1:44.220","1:42.436","3","12","0","0","100","0"
"11","93","Ferrari 488 GTE","0","Hosted All Cars Class","319276","319276","Harri Kjellin","20","75","0","Running","-23.841","0","","1:44.458","1:42.276","10","12","4","0","100","0"
"12","102","Porsche 911 RSR","0","Hosted All Cars Class","298788","298788","Håkan Ågren","25","20","0","Running","-23.895","0","","1:44.462","1:42.222","4","12","5","0","100","0"
"13","92","Ford GT - 2017","0","Hosted All Cars Class","108438","108438","Kent Suroto","12","48","0","Running","-26.049","0","","1:44.642","1:42.800","9","12","3","0","100","0"
"14","102","Porsche 911 RSR","0","Hosted All Cars Class","138213","138213","Victor Dravegard","8","23","0","Running","-28.260","0","","1:44.827","1:42.171","10","12","12","0","100","0"
"15","102","Porsche 911 RSR","0","Hosted All Cars Class","230406","230406","Fredrik Stertman","1","87","0","Running","-28.298","0","","1:44.831","1:42.757","6","12","6","0","100","0"
"16","102","Porsche 911 RSR","0","Hosted All Cars Class","290615","290615","Jonas Simonsson","11","16","0","Running","-37.785","0","","1:45.621","1:42.294","7","12","9","0","100","0"
"17","92","Ford GT - 2017","0","Hosted All Cars Class","52848","52848","Rickard Allardh","14","74","0","Running","-37.829","0","","1:45.624","1:42.271","11","12","7","0","100","0"
"18","93","Ferrari 488 GTE","0","Hosted All Cars Class","64920","64920","TK Yasagac","28","321","0","Running","-37.887","0","","1:45.628","1:43.360","10","12","8","0","100","0"
"19","93","Ferrari 488 GTE","0","Hosted All Cars Class","48364","48364","Jesper Lindh","6","296","0","Running","-39.773","0","","1:45.787","1:42.472","7","12","12","0","100","0"
"20","102","Porsche 911 RSR","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","29","28","0","Running","-42.101","0","","1:45.979","1:42.799","6","12","9","0","100","0"
