"Start Time","Track","Series","Hosted Session Name"
"2018.12.11 7:10 PM GMT","Autodromo Nazionale Monza - Grand Prix","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","92","Ford GT - 2017","0","Hosted All Cars Class","155240","155240","Robin Sundkvist","1","4","0","Running","-00.000","26","","1:45.910","1:43.667","4","26","4","0","100","0"
"2","93","Ferrari 488 GTE","0","Hosted All Cars Class","293441","293441","Andreas Dahlström","3","16","0","Running","-04.230","0","","1:46.073","1:43.841","3","26","5","0","100","0"
"3","93","Ferrari 488 GTE","0","Hosted All Cars Class","292923","292923","Stellan Lindeberg","4","968","0","Running","-08.712","0","","1:46.245","1:43.940","2","26","1","0","100","0"
"4","102","Porsche 911 RSR","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","2","82","0","Running","-15.611","0","","1:46.511","1:44.546","7","26","12","0","100","0"
"5","93","Ferrari 488 GTE","0","Hosted All Cars Class","59177","59177","Andreas Olsson","5","15","0","Running","-16.136","0","","1:46.531","1:44.273","5","26","6","0","100","0"
"6","102","Porsche 911 RSR","0","Hosted All Cars Class","124781","124781","Marcus Simonsson","6","192","0","Running","-24.404","0","","1:46.849","1:44.504","4","26","2","0","100","0"
"7","93","Ferrari 488 GTE","0","Hosted All Cars Class","37785","37785","Jonas Bodin","7","177","0","Running","-28.047","0","","1:46.989","1:44.415","5","26","4","0","100","0"
"8","102","Porsche 911 RSR","0","Hosted All Cars Class","230406","230406","Fredrik Stertman","8","87","0","Running","-33.007","0","","1:47.180","1:44.604","2","26","5","0","100","0"
"9","102","Porsche 911 RSR","0","Hosted All Cars Class","138213","138213","Victor Dravegard","17","23","0","Running","-36.642","0","","1:47.319","1:44.697","7","26","14","0","100","0"
"10","92","Ford GT - 2017","0","Hosted All Cars Class","52848","52848","Rickard Allardh","16","74","0","Running","-37.203","0","","1:47.341","1:44.784","7","26","7","0","100","0"
"11","93","Ferrari 488 GTE","0","Hosted All Cars Class","80693","80693","Mattias Norling","24","8","0","Running","-51.675","0","","1:47.897","1:45.291","14","26","1","0","100","0"
"12","102","Porsche 911 RSR","0","Hosted All Cars Class","115216","115216","Karl-Johan Hagelin","21","214","0","Running","-57.472","0","","1:48.120","1:45.154","5","26","4","0","100","0"
"13","93","Ferrari 488 GTE","0","Hosted All Cars Class","184439","184439","Mikael Engström","11","11","0","Running","-1:05.848","0","","1:48.443","1:44.882","5","26","5","0","100","0"
"14","102","Porsche 911 RSR","0","Hosted All Cars Class","91787","91787","Philip Johansson","15","220","0","Running","-1:06.463","0","","1:48.466","1:45.128","4","26","15","0","100","0"
"15","102","Porsche 911 RSR","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","23","28","0","Running","-1:06.807","0","","1:48.479","1:45.409","10","26","1","0","100","0"
"16","93","Ferrari 488 GTE","0","Hosted All Cars Class","41060","41060","Jonny Wermelin","25","81","0","Running","-1:16.793","0","","1:48.863","1:46.361","11","26","4","0","100","0"
"17","93","Ferrari 488 GTE","0","Hosted All Cars Class","209962","209962","Linus Areng","12","757","0","Running","-1:18.287","0","","1:48.921","1:44.949","7","26","15","0","100","0"
"18","92","Ford GT - 2017","0","Hosted All Cars Class","108438","108438","Kent Suroto","28","48","0","Running","-1:20.103","0","","1:48.990","1:45.800","18","26","4","0","100","0"
"19","92","Ford GT - 2017","0","Hosted All Cars Class","216544","216544","Daniel Sollo","27","215","0","Running","-1:30.280","0","","1:49.382","1:45.613","11","26","16","0","100","0"
"20","93","Ferrari 488 GTE","0","Hosted All Cars Class","324435","324435","Philip Larsson","37","18","0","Running","-1:32.566","0","","1:49.469","1:45.801","8","26","12","0","100","0"
"21","93","Ferrari 488 GTE","0","Hosted All Cars Class","319276","319276","Harri Kjellin","36","75","0","Running","-1:38.508","0","","1:49.698","1:46.616","23","26","4","0","100","0"
"22","93","Ferrari 488 GTE","0","Hosted All Cars Class","293407","293407","Pontus Nilsson","29","79","0","Running","-1:41.121","0","","1:49.799","1:46.457","18","26","9","0","100","0"
"23","102","Porsche 911 RSR","0","Hosted All Cars Class","248617","248617","Anders Wallgren","32","19","0","Running","-1 L","0","","1:50.863","1:46.425","19","25","12","0","100","0"
"24","93","Ferrari 488 GTE","0","Hosted All Cars Class","47716","47716","Andreas Lewau","30","123","0","Running","-1 L","0","","1:51.013","1:46.278","21","25","4","0","100","0"
"25","102","Porsche 911 RSR","0","Hosted All Cars Class","131973","131973","Robert Ehrling","34","34","0","Running","-1 L","0","","1:51.375","1:47.949","17","25","4","0","100","0"
"26","102","Porsche 911 RSR","0","Hosted All Cars Class","246119","246119","Tomas Andersson","35","119","0","Running","-2 L","0","","1:54.756","1:46.759","6","24","7","0","100","0"
"27","102","Porsche 911 RSR","0","Hosted All Cars Class","290615","290615","Jonas Simonsson","10","3","29","Disqualified","-3 L","0","","1:48.055","1:44.966","7","23","17","0","100","0"
"28","102","Porsche 911 RSR","0","Hosted All Cars Class","298788","298788","Håkan Ågren","20","20","0","Running","-7 L","0","","1:48.164","1:46.680","8","19","7","0","100","0"
"29","93","Ferrari 488 GTE","0","Hosted All Cars Class","64920","64920","TK Yasagac","31","321","32","Disconnected","-11 L","0","","1:48.463","1:46.482","14","15","14","0","100","0"
"30","93","Ferrari 488 GTE","0","Hosted All Cars Class","175014","175014","Joachim Ljunggren","9","64","0","Running","-16 L","0","","1:46.080","1:45.029","6","10","6","0","100","0"
"31","92","Ford GT - 2017","0","Hosted All Cars Class","122653","122653","Joel Voxberg","22","21","32","Disconnected","-18 L","0","","2:06.962","1:46.322","6","8","7","0","100","0"
"32","102","Porsche 911 RSR","0","Hosted All Cars Class","231076","231076","Mikael Engstroem","19","100","32","Disconnected","-20 L","0","","1:48.872","1:45.023","4","6","14","0","100","0"
"33","102","Porsche 911 RSR","0","Hosted All Cars Class","253695","253695","Tommy Lindkvist","26","13","32","Disconnected","-20 L","0","","1:49.913","1:47.057","2","6","6","0","100","0"
"34","93","Ferrari 488 GTE","0","Hosted All Cars Class","48364","48364","Jesper Lindh","13","296","32","Disconnected","-21 L","0","","1:46.259","1:45.114","3","5","2","0","100","0"
"35","93","Ferrari 488 GTE","0","Hosted All Cars Class","210826","210826","Magnus Asp","14","2","32","Disconnected","-21 L","0","","1:52.824","1:46.007","4","5","7","0","100","0"
"36","102","Porsche 911 RSR","0","Hosted All Cars Class","278525","278525","Lars Rystedt","33","99","32","Disconnected","-21 L","0","","1:52.132","1:48.059","4","5","9","0","100","0"
"37","93","Ferrari 488 GTE","0","Hosted All Cars Class","143617","143617","Henrik Lindoff","18","35","32","Disconnected","-24 L","0","","1:50.429","","","2","1","0","100","0"
