"Start Time","Track","Series","Hosted Session Name"
"2018.09.11 6:00 PM GMT","Watkins Glen International - Boot","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","92","Ford GT - 2017","0","Hosted All Cars Class","155240","155240","Robin Sundkvist","3","4","0","Running","-00.000","9","","1:43.975","1:41.719","2","26","7","0","100","0"
"2","102","Porsche 911 RSR","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","4","82","0","Running","-02.250","0","","1:44.061","1:42.148","3","26","10","0","100","0"
"3","93","Ferrari 488 GTE","0","Hosted All Cars Class","233966","233966","Josef Fällgren","2","10","0","Running","-03.576","11","","1:43.835","1:41.678","3","26","9","0","100","0"
"4","93","Ferrari 488 GTE","0","Hosted All Cars Class","293441","293441","Andreas Dahlström","1","16","0","Running","-11.160","6","","1:44.404","1:42.825","16","26","16","0","100","0"
"5","102","Porsche 911 RSR","0","Hosted All Cars Class","290742","290742","Magnus Vallström","5","666","0","Running","-16.266","0","","1:44.600","1:42.427","3","26","1","0","100","0"
"6","93","Ferrari 488 GTE","0","Hosted All Cars Class","292923","292923","Stellan Lindeberg","8","968","0","Running","-18.559","0","","1:44.688","1:42.403","2","26","2","0","100","0"
"7","102","Porsche 911 RSR","0","Hosted All Cars Class","138213","138213","Victor Dravegard","7","23","0","Running","-23.050","0","","1:44.861","1:43.015","2","26","4","0","100","0"
"8","102","Porsche 911 RSR","0","Hosted All Cars Class","231076","231076","Mikael Engstroem","10","100","0","Running","-24.720","0","","1:44.925","1:43.081","2","26","9","0","100","0"
"9","93","Ferrari 488 GTE","0","Hosted All Cars Class","59177","59177","Andreas Olsson","14","15","0","Running","-28.175","0","","1:45.058","1:43.053","4","26","12","0","100","0"
"10","102","Porsche 911 RSR","0","Hosted All Cars Class","124781","124781","Marcus Simonsson","9","192","0","Running","-30.700","0","","1:45.155","1:43.148","3","26","0","0","100","0"
"11","93","Ferrari 488 GTE","0","Hosted All Cars Class","175014","175014","Joachim Ljunggren","12","64","0","Running","-32.907","0","","1:45.240","1:43.034","3","26","8","0","100","0"
"12","92","Ford GT - 2017","0","Hosted All Cars Class","52848","52848","Rickard Allardh","15","74","0","Running","-33.149","0","","1:45.249","1:43.084","4","26","9","0","100","0"
"13","102","Porsche 911 RSR","0","Hosted All Cars Class","91787","91787","Philip Johansson","11","220","0","Running","-43.418","0","","1:45.644","1:42.873","3","26","9","0","100","0"
"14","93","Ferrari 488 GTE","0","Hosted All Cars Class","184439","184439","Mikael Engström","17","11","0","Running","-47.167","0","","1:45.788","1:43.328","6","26","6","0","100","0"
"15","102","Porsche 911 RSR","0","Hosted All Cars Class","298788","298788","Håkan Ågren","23","20","0","Running","-50.782","0","","1:45.927","1:43.342","4","26","4","0","100","0"
"16","102","Porsche 911 RSR","0","Hosted All Cars Class","230406","230406","Fredrik Stertman","22","87","0","Running","-51.048","0","","1:45.937","1:43.470","3","26","5","0","100","0"
"17","93","Ferrari 488 GTE","0","Hosted All Cars Class","37785","37785","Jonas Bodin","6","177","0","Running","-53.758","0","","1:45.692","1:42.775","5","26","9","0","100","0"
