"Start Time","Track","Series","Hosted Session Name"
"2018.09.18 5:55 PM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","92","Ford GT - 2017","0","Hosted All Cars Class","155240","155240","Robin Sundkvist","1","4","0","Running","-00.000","13","","1:39.320","1:38.316","2","13","0","0","100","0"
"2","102","Porsche 911 RSR","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","3","82","0","Running","-11.707","0","","1:40.221","1:39.492","4","13","4","0","100","0"
"3","93","Ferrari 488 GTE","0","Hosted All Cars Class","59177","59177","Andreas Olsson","8","15","0","Running","-19.564","0","","1:40.825","1:39.684","2","13","2","0","100","0"
"4","92","Ford GT - 2017","0","Hosted All Cars Class","52848","52848","Rickard Allardh","9","74","0","Running","-22.755","0","","1:41.070","1:39.744","3","13","7","0","100","0"
"5","102","Porsche 911 RSR","0","Hosted All Cars Class","138213","138213","Victor Dravegard","6","23","0","Running","-23.247","0","","1:41.108","1:39.939","3","13","2","0","100","0"
"6","93","Ferrari 488 GTE","0","Hosted All Cars Class","233966","233966","Josef Fällgren","2","10","0","Running","-23.402","0","","1:41.120","1:39.663","6","13","6","0","100","0"
"7","102","Porsche 911 RSR","0","Hosted All Cars Class","124781","124781","Marcus Simonsson","12","192","0","Running","-24.449","0","","1:41.200","1:39.667","6","13","0","0","100","0"
"8","102","Porsche 911 RSR","0","Hosted All Cars Class","290742","290742","Magnus Vallström","11","666","0","Running","-26.225","0","","1:41.337","1:39.826","5","13","2","0","100","0"
"9","93","Ferrari 488 GTE","0","Hosted All Cars Class","293441","293441","Andreas Dahlström","7","16","0","Running","-26.378","0","","1:41.349","1:39.709","3","13","7","0","100","0"
"10","93","Ferrari 488 GTE","0","Hosted All Cars Class","175014","175014","Joachim Ljunggren","10","64","0","Running","-27.239","0","","1:41.415","1:40.053","3","13","2","0","100","0"
"11","102","Porsche 911 RSR","0","Hosted All Cars Class","31968","31968","Tony Cederholm","19","72","0","Running","-39.004","0","","1:42.319","1:40.650","2","13","5","0","100","0"
"12","93","Ferrari 488 GTE","0","Hosted All Cars Class","184439","184439","Mikael Engström","21","11","0","Running","-41.281","0","","1:42.494","1:40.798","2","13","9","0","100","0"
"13","93","Ferrari 488 GTE","0","Hosted All Cars Class","312061","312061","Albin Nyström","25","310","0","Running","-41.740","0","","1:42.529","1:40.715","13","13","8","0","100","0"
"14","102","Porsche 911 RSR","0","Hosted All Cars Class","246119","246119","Tomas Andersson","27","36","0","Running","-46.962","0","","1:42.931","1:40.933","3","13","0","0","100","0"
"15","102","Porsche 911 RSR","0","Hosted All Cars Class","140126","140126","Sebastian Witkowski","30","704","0","Running","-48.798","0","","1:43.072","1:40.965","9","13","6","0","100","0"
"16","102","Porsche 911 RSR","0","Hosted All Cars Class","179485","179485","Daniel Öhrn","18","014","0","Running","-49.087","0","","1:43.095","1:40.780","3","13","6","0","100","0"
"17","102","Porsche 911 RSR","0","Hosted All Cars Class","290615","290615","Jonas Simonsson","34","3","0","Running","-53.843","0","","1:43.460","1:41.394","5","13","5","0","100","0"
"18","92","Ford GT - 2017","0","Hosted All Cars Class","108438","108438","Kent Suroto","20","48","0","Running","-54.129","0","","1:43.483","1:41.250","13","13","4","0","100","0"
"19","93","Ferrari 488 GTE","0","Hosted All Cars Class","175460","175460","Joakim Svensson","41","119","0","Running","-54.775","0","","1:43.531","1:41.320","12","13","7","0","100","0"
"20","102","Porsche 911 RSR","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","28","28","0","Running","-57.076","0","","1:43.709","1:41.415","9","13","8","0","100","0"
"21","93","Ferrari 488 GTE","0","Hosted All Cars Class","319276","319276","Harri Kjellin","26","75","0","Running","-58.459","0","","1:43.815","1:41.349","5","13","2","0","100","0"
"22","93","Ferrari 488 GTE","0","Hosted All Cars Class","47716","47716","Andreas Lewau","24","123","0","Running","-58.848","0","","1:43.845","1:41.420","13","13","8","0","100","0"
"23","102","Porsche 911 RSR","0","Hosted All Cars Class","69293","69293","Robin Bandgren","31","77","0","Running","-1:00.010","0","","1:43.934","1:41.864","2","13","8","0","100","0"
"24","102","Porsche 911 RSR","0","Hosted All Cars Class","41060","41060","Jonny Wermelin","33","81","0","Running","-1:04.369","0","","1:44.269","1:42.048","4","13","14","0","100","0"
"25","102","Porsche 911 RSR","0","Hosted All Cars Class","281548","281548","Oliver Silva Barrera","36","43","0","Running","-1:04.962","0","","1:44.315","1:42.174","9","13","8","0","100","0"
"26","102","Porsche 911 RSR","0","Hosted All Cars Class","91787","91787","Philip Johansson","17","220","0","Running","-1:05.392","0","","1:44.349","1:41.372","5","13","8","0","100","0"
"27","92","Ford GT - 2017","0","Hosted All Cars Class","122653","122653","Joel Voxberg","15","21","0","Running","-1:08.188","0","","1:44.565","1:41.053","4","13","11","0","100","0"
"28","102","Porsche 911 RSR","0","Hosted All Cars Class","27595","27595","Martin Simonsson","32","47","0","Running","-1:10.716","0","","1:44.758","1:42.408","8","13","6","0","100","0"
"29","93","Ferrari 488 GTE","0","Hosted All Cars Class","64920","64920","TK Yasagac","39","321","0","Running","-1:11.653","0","","1:44.829","1:41.758","10","13","7","0","100","0"
"30","92","Ford GT - 2017","0","Hosted All Cars Class","216544","216544","Daniel Sollo","29","215","0","Running","-1:11.887","0","","1:44.848","1:41.988","7","13","14","0","100","0"
