"Start Time","Track","Series","Hosted Session Name"
"2018.09.18 7:20 PM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","93","Ferrari 488 GTE","0","Hosted All Cars Class","233966","233966","Josef Fällgren","4","10","0","Running","-00.000","20","","1:41.406","1:40.711","3","21","13","0","100","0"
"2","92","Ford GT - 2017","0","Hosted All Cars Class","155240","155240","Robin Sundkvist","10","4","0","Running","-05.450","0","","1:41.666","1:40.972","20","21","9","0","100","0"
"3","93","Ferrari 488 GTE","0","Hosted All Cars Class","293441","293441","Andreas Dahlström","2","16","0","Running","-18.296","0","","1:42.278","1:41.543","3","21","9","0","100","0"
"4","93","Ferrari 488 GTE","0","Hosted All Cars Class","175014","175014","Joachim Ljunggren","1","64","0","Running","-22.602","1","","1:42.483","1:41.957","2","21","4","0","100","0"
"5","102","Porsche 911 RSR","0","Hosted All Cars Class","138213","138213","Victor Dravegard","6","23","0","Running","-23.802","0","","1:42.540","1:41.921","5","21","13","0","100","0"
"6","93","Ferrari 488 GTE","0","Hosted All Cars Class","59177","59177","Andreas Olsson","8","15","0","Running","-27.165","0","","1:42.700","1:42.059","5","21","10","0","100","0"
"7","102","Porsche 911 RSR","0","Hosted All Cars Class","124781","124781","Marcus Simonsson","5","192","0","Running","-27.486","0","","1:42.715","1:41.755","6","21","11","0","100","0"
"8","102","Porsche 911 RSR","0","Hosted All Cars Class","290742","290742","Magnus Vallström","3","666","0","Running","-31.060","0","","1:42.886","1:41.884","8","21","13","0","100","0"
"9","92","Ford GT - 2017","0","Hosted All Cars Class","52848","52848","Rickard Allardh","7","74","0","Running","-35.822","0","","1:43.112","1:42.042","5","21","8","0","100","0"
"10","93","Ferrari 488 GTE","0","Hosted All Cars Class","175460","175460","Joakim Svensson","12","7","0","Running","-48.483","0","","1:43.715","1:42.641","4","21","15","0","100","0"
"11","102","Porsche 911 RSR","0","Hosted All Cars Class","231076","231076","Mikael Engstroem","32","100","0","Running","-50.702","0","","1:43.820","1:42.372","14","21","16","0","100","0"
"12","102","Porsche 911 RSR","0","Hosted All Cars Class","246119","246119","Tomas Andersson","16","119","0","Running","-53.321","0","","1:43.945","1:43.222","10","21","1","0","100","0"
"13","102","Porsche 911 RSR","0","Hosted All Cars Class","91787","91787","Philip Johansson","24","220","0","Running","-56.605","0","","1:44.101","1:43.079","2","21","5","0","100","0"
"14","92","Ford GT - 2017","0","Hosted All Cars Class","122653","122653","Joel Voxberg","25","21","0","Running","-56.706","0","","1:44.106","1:42.435","12","21","3","0","100","0"
"15","102","Porsche 911 RSR","0","Hosted All Cars Class","31968","31968","Tony Cederholm","21","72","0","Running","-1:01.197","0","","1:44.320","1:43.301","18","21","13","0","100","0"
"16","93","Ferrari 488 GTE","0","Hosted All Cars Class","184439","184439","Mikael Engström","18","11","0","Running","-1:10.269","0","","1:44.752","1:43.506","10","21","11","0","100","0"
"17","93","Ferrari 488 GTE","0","Hosted All Cars Class","47716","47716","Andreas Lewau","28","123","0","Running","-1:11.669","0","","1:44.818","1:43.245","4","21","1","0","100","0"
"18","102","Porsche 911 RSR","0","Hosted All Cars Class","298788","298788","Håkan Ågren","40","20","0","Running","-1:12.381","0","","1:44.851","1:43.050","4","21","9","0","100","0"
"19","93","Ferrari 488 GTE","0","Hosted All Cars Class","210826","210826","Magnus Asp","41","2","0","Running","-1:14.843","0","","1:44.969","1:42.659","7","21","12","0","100","0"
"20","93","Ferrari 488 GTE","0","Hosted All Cars Class","80693","80693","Mattias Norling","42","8","0","Running","-1:15.627","0","","1:45.006","1:43.229","7","21","10","0","100","0"
"21","102","Porsche 911 RSR","0","Hosted All Cars Class","27595","27595","Martin Simonsson","23","47","0","Running","-1:20.228","0","","1:45.226","1:43.538","19","21","4","0","100","0"
"22","102","Porsche 911 RSR","0","Hosted All Cars Class","248617","248617","Anders Wallgren","39","19","0","Running","-1:30.398","0","","1:45.709","1:43.242","18","21","14","0","100","0"
