"Start Time","Track","Series","Hosted Session Name"
"2018.10.02 6:10 PM GMT","Suzuka International Racing Course - Grand Prix","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","102","Porsche 911 RSR","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","1","82","0","Running","-00.000","22","","1:59.417","1:57.073","2","23","8","0","100","0"
"2","102","Porsche 911 RSR","0","Hosted All Cars Class","124781","124781","Marcus Simonsson","5","192","0","Running","-12.101","1","","1:59.943","1:57.748","3","23","7","0","100","0"
"3","102","Porsche 911 RSR","0","Hosted All Cars Class","290742","290742","Magnus Vallström","3","666","0","Running","-13.738","0","","2:00.014","1:57.656","3","23","6","0","100","0"
"4","102","Porsche 911 RSR","0","Hosted All Cars Class","231076","231076","Mikael Engstroem","4","100","0","Running","-20.970","0","","2:00.328","1:58.536","8","23","11","0","100","0"
"5","93","Ferrari 488 GTE","0","Hosted All Cars Class","175014","175014","Joachim Ljunggren","8","64","0","Running","-21.625","0","","2:00.357","1:58.111","3","23","5","0","100","0"
"6","102","Porsche 911 RSR","0","Hosted All Cars Class","138213","138213","Victor Dravegard","10","23","0","Running","-21.914","0","","2:00.369","1:58.457","17","23","8","0","100","0"
"7","93","Ferrari 488 GTE","0","Hosted All Cars Class","37785","37785","Jonas Bodin","6","177","0","Running","-28.021","0","","2:00.635","1:58.502","8","23","14","0","100","0"
"8","102","Porsche 911 RSR","0","Hosted All Cars Class","91787","91787","Philip Johansson","7","220","0","Running","-35.233","0","","2:00.948","1:58.314","5","23","9","0","100","0"
"9","93","Ferrari 488 GTE","0","Hosted All Cars Class","230647","230647","Michael Haflidason","15","811","0","Running","-37.966","0","","2:01.067","1:58.726","2","23","16","0","100","0"
"10","102","Porsche 911 RSR","0","Hosted All Cars Class","298788","298788","Håkan Ågren","12","20","0","Running","-38.502","0","","2:01.090","1:58.523","2","23","9","0","100","0"
"11","102","Porsche 911 RSR","0","Hosted All Cars Class","179485","179485","Daniel Öhrn","14","014","0","Running","-42.730","0","","2:01.274","1:58.922","10","23","11","0","100","0"
"12","92","Ford GT - 2017","0","Hosted All Cars Class","159550","159550","Robert B Eriksson","21","5","0","Running","-44.327","0","","2:01.343","1:58.788","19","23","10","0","100","0"
"13","93","Ferrari 488 GTE","0","Hosted All Cars Class","80693","80693","Mattias Norling","20","8","0","Running","-44.622","0","","2:01.356","1:58.458","2","23","5","0","100","0"
"14","93","Ferrari 488 GTE","0","Hosted All Cars Class","184439","184439","Mikael Engström","13","11","0","Running","-48.184","0","","2:01.511","1:58.941","8","23","6","0","100","0"
"15","102","Porsche 911 RSR","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","16","28","0","Running","-49.451","0","","2:01.566","1:59.192","19","23","10","0","100","0"
"16","93","Ferrari 488 GTE","0","Hosted All Cars Class","210826","210826","Magnus Asp","9","2","0","Running","-52.713","0","","2:01.708","1:58.910","17","23","15","0","100","0"
"17","102","Porsche 911 RSR","0","Hosted All Cars Class","230212","230212","Anton Karlsson","19","32","0","Running","-56.357","0","","2:01.866","1:58.963","2","23","6","0","100","0"
"18","93","Ferrari 488 GTE","0","Hosted All Cars Class","47716","47716","Andreas Lewau","18","123","0","Running","-58.007","0","","2:01.938","1:58.838","3","23","7","0","100","0"
"19","102","Porsche 911 RSR","0","Hosted All Cars Class","290615","290615","Jonas Simonsson","23","3","0","Running","-1:03.156","0","","2:02.162","1:59.122","6","23","16","0","100","0"
"20","102","Porsche 911 RSR","0","Hosted All Cars Class","248617","248617","Anders Wallgren","30","19","0","Running","-1:03.356","0","","2:02.170","1:59.667","4","23","5","0","100","0"
"21","92","Ford GT - 2017","0","Hosted All Cars Class","108438","108438","Kent Suroto","17","48","0","Running","-1:10.068","0","","2:00.169","1:58.987","2","23","3","0","100","0"
"22","93","Ferrari 488 GTE","0","Hosted All Cars Class","319276","319276","Harri Kjellin","28","75","0","Running","-1:12.136","0","","2:02.552","1:59.120","3","23","5","0","100","0"
"23","92","Ford GT - 2017","0","Hosted All Cars Class","52848","52848","Rickard Allardh","11","74","0","Running","-1:13.532","0","","2:02.613","1:58.316","3","23","6","0","100","0"
"24","102","Porsche 911 RSR","0","Hosted All Cars Class","266171","266171","Jonas Melin","26","76","0","Running","-1:14.127","0","","2:02.639","1:59.384","3","23","3","0","100","0"
"25","92","Ford GT - 2017","0","Hosted All Cars Class","122653","122653","Joel Voxberg","22","21","0","Running","-1:14.397","0","","2:02.651","1:59.739","10","23","15","0","100","0"
