"Start Time","Track","Series","Hosted Session Name"
"2018.10.09 6:10 PM GMT","Road Atlanta - Full Course","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","92","Ford GT - 2017","0","Hosted All Cars Class","155240","155240","Robin Sundkvist","1","4","0","Running","-00.000","36","","1:16.394","1:14.845","3","36","6","0","100","0"
"2","102","Porsche 911 RSR","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","4","82","0","Running","-17.810","0","","1:16.888","1:15.274","3","36","10","0","100","0"
"3","92","Ford GT - 2017","0","Hosted All Cars Class","52848","52848","Rickard Allardh","5","74","0","Running","-22.968","0","","1:17.031","1:15.415","32","36","5","0","100","0"
"4","93","Ferrari 488 GTE","0","Hosted All Cars Class","292923","292923","Stellan Lindeberg","7","968","0","Running","-24.463","0","","1:17.073","1:15.385","26","36","3","0","100","0"
"5","93","Ferrari 488 GTE","0","Hosted All Cars Class","59177","59177","Andreas Olsson","16","15","0","Running","-33.824","0","","1:17.333","1:15.533","32","36","5","0","100","0"
"6","93","Ferrari 488 GTE","0","Hosted All Cars Class","293441","293441","Andreas Dahlström","6","16","0","Running","-38.239","0","","1:17.456","1:15.083","24","36","13","0","100","0"
"7","93","Ferrari 488 GTE","0","Hosted All Cars Class","210826","210826","Magnus Asp","12","2","0","Running","-44.835","0","","1:17.639","1:15.392","33","36","9","0","100","0"
"8","93","Ferrari 488 GTE","0","Hosted All Cars Class","37785","37785","Jonas Bodin","8","177","0","Running","-45.629","0","","1:17.661","1:15.364","29","36","6","0","100","0"
"9","92","Ford GT - 2017","0","Hosted All Cars Class","159550","159550","Robert B Eriksson","17","5","0","Running","-58.657","0","","1:18.022","1:15.799","17","36","3","0","100","0"
"10","93","Ferrari 488 GTE","0","Hosted All Cars Class","209962","209962","Linus Areng","19","39","0","Running","-1:02.920","0","","1:18.141","1:15.711","29","36","4","0","100","0"
"11","93","Ferrari 488 GTE","0","Hosted All Cars Class","298788","298788","Håkan Ågren","21","20","0","Running","-1:05.555","0","","1:18.214","1:15.876","15","36","6","0","100","0"
