"Start Time","Track","Series","Hosted Session Name"
"2018.10.23 5:56 PM GMT","Detroit Grand Prix at Belle Isle - Belle Isle","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","93","Ferrari 488 GTE","0","Hosted All Cars Class","293441","293441","Andreas Dahlström","1","16","0","Running","-00.000","25","","1:25.969","1:24.417","2","25","0","0","100","0"
"2","102","Porsche 911 RSR","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","3","82","0","Running","-13.645","0","","1:26.514","1:25.610","2","25","0","0","100","0"
"3","93","Ferrari 488 GTE","0","Hosted All Cars Class","292923","292923","Stellan Lindeberg","8","968","0","Running","-14.030","0","","1:26.530","1:25.828","7","25","0","0","100","0"
"4","93","Ferrari 488 GTE","0","Hosted All Cars Class","37785","37785","Jonas Bodin","2","177","0","Running","-17.449","0","","1:26.667","1:25.921","4","25","2","0","100","0"
"5","102","Porsche 911 RSR","0","Hosted All Cars Class","124781","124781","Marcus Simonsson","7","192","0","Running","-24.217","0","","1:26.937","1:25.926","20","25","0","0","100","0"
"6","92","Ford GT - 2017","0","Hosted All Cars Class","108438","108438","Kent Suroto","12","48","0","Running","-32.603","0","","1:27.272","1:26.260","23","25","0","0","100","0"
"7","102","Porsche 911 RSR","0","Hosted All Cars Class","231076","231076","Mikael Engstroem","14","100","0","Running","-33.750","0","","1:27.318","1:25.981","20","25","4","0","100","0"
"8","93","Ferrari 488 GTE","0","Hosted All Cars Class","209962","209962","Linus Areng","5","757","0","Running","-38.805","0","","1:27.521","1:26.189","5","25","6","0","100","0"
"9","93","Ferrari 488 GTE","0","Hosted All Cars Class","312061","312061","Albin Nyström","16","310","0","Running","-42.709","0","","1:27.676","1:26.346","14","25","2","0","100","0"
"10","102","Porsche 911 RSR","0","Hosted All Cars Class","91787","91787","Philip Johansson","13","220","0","Running","-43.658","0","","1:27.714","1:26.401","18","25","2","0","100","0"
"11","102","Porsche 911 RSR","0","Hosted All Cars Class","290742","290742","Magnus Vallström","11","666","0","Running","-46.521","0","","1:27.278","1:26.052","3","25","2","0","100","0"
"12","102","Porsche 911 RSR","0","Hosted All Cars Class","230406","230406","Fredrik Stertman","18","87","0","Running","-50.396","0","","1:27.984","1:26.809","4","25","0","0","100","0"
"13","102","Porsche 911 RSR","0","Hosted All Cars Class","115216","115216","Karl-Johan Hagelin","20","214","0","Running","-53.930","0","","1:28.125","1:26.853","3","25","4","0","100","0"
"14","102","Porsche 911 RSR","0","Hosted All Cars Class","248617","248617","Anders Wallgren","19","19","0","Running","-1:01.812","0","","1:28.440","1:27.237","25","25","4","0","100","0"
"15","102","Porsche 911 RSR","0","Hosted All Cars Class","246119","246119","Tomas Andersson","15","119","0","Running","-1:05.395","0","","1:28.584","1:26.336","24","25","6","0","100","0"
"16","102","Porsche 911 RSR","0","Hosted All Cars Class","140126","140126","Sebastian Witkowski","22","704","0","Running","-1:17.610","0","","1:29.072","1:26.903","12","25","5","0","100","0"
"17","92","Ford GT - 2017","0","Hosted All Cars Class","216544","216544","Daniel Sollo","25","215","29","Disqualified","-1 L","0","","1:29.334","1:27.066","12","24","14","0","100","0"
"18","93","Ferrari 488 GTE","0","Hosted All Cars Class","319276","319276","Harri Kjellin","17","75","0","Running","-1 L","0","","1:30.052","1:27.038","3","24","2","0","100","0"
"19","102","Porsche 911 RSR","0","Hosted All Cars Class","253695","253695","Tommy Lindkvist","26","13","0","Running","-1 L","0","","1:30.525","1:27.260","12","24","8","0","100","0"
"20","102","Porsche 911 RSR","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","21","28","0","Running","-1 L","0","","1:30.688","1:28.108","18","24","10","0","100","0"
"21","102","Porsche 911 RSR","0","Hosted All Cars Class","331739","331739","Christopher Haverland","28","175","0","Running","-1 L","0","","1:32.556","1:28.198","18","24","6","0","100","0"
"22","102","Porsche 911 RSR","0","Hosted All Cars Class","278525","278525","Lars Rystedt","29","99","0","Running","-2 L","0","","1:33.474","1:28.858","4","23","8","0","100","0"
"23","102","Porsche 911 RSR","0","Hosted All Cars Class","290615","290615","Jonas Simonsson","27","3","0","Running","-3 L","0","","1:29.853","1:27.632","20","22","6","0","100","0"
"24","93","Ferrari 488 GTE","0","Hosted All Cars Class","80693","80693","Mattias Norling","24","8","0","Running","-5 L","0","","1:30.667","1:26.708","4","20","4","0","100","0"
"25","92","Ford GT - 2017","0","Hosted All Cars Class","159550","159550","Robert B Eriksson","32","5","32","Disconnected","-9 L","0","","1:32.596","1:28.313","11","16","2","0","100","0"
"26","102","Porsche 911 RSR","0","Hosted All Cars Class","298788","298788","Håkan Ågren","30","20","32","Disconnected","-11 L","0","","1:31.438","1:27.601","4","14","13","0","100","0"
"27","93","Ferrari 488 GTE","0","Hosted All Cars Class","230647","230647","Michael Haflidason","4","811","32","Disconnected","-15 L","0","","1:30.737","1:26.044","6","10","2","0","100","0"
"28","93","Ferrari 488 GTE","0","Hosted All Cars Class","210826","210826","Magnus Asp","6","2","32","Disconnected","-17 L","0","","1:27.753","1:25.961","6","8","4","0","100","0"
"29","93","Ferrari 488 GTE","0","Hosted All Cars Class","175014","175014","Joachim Ljunggren","9","64","0","Running","-17 L","0","","1:27.810","1:25.986","4","8","4","0","100","0"
"30","102","Porsche 911 RSR","0","Hosted All Cars Class","138213","138213","Victor Dravegard","10","23","32","Disconnected","-17 L","0","","1:28.019","1:26.127","3","8","4","0","100","0"
"31","102","Porsche 911 RSR","0","Hosted All Cars Class","31968","31968","Tony Cederholm","31","72","32","Disconnected","-17 L","0","","1:32.131","1:28.753","7","8","4","0","100","0"
"32","102","Porsche 911 RSR","0","Hosted All Cars Class","233357","233357","Ola Särnkvist","33","70","0","Running","-19 L","0","","1:41.998","1:31.548","2","6","4","0","100","0"
"33","92","Ford GT - 2017","0","Hosted All Cars Class","122653","122653","Joel Voxberg","23","21","29","Disqualified","-20 L","0","","00.000","","","5","10","0","100","0"
