"Start Time","Track","Series","Hosted Session Name"
"2018.10.23 7:35 PM GMT","Detroit Grand Prix at Belle Isle - Belle Isle","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","93","Ferrari 488 GTE","0","Hosted All Cars Class","292923","292923","Stellan Lindeberg","8","968","0","Running","-00.000","7","","1:26.372","1:24.949","2","14","4","0","100","0"
"2","93","Ferrari 488 GTE","0","Hosted All Cars Class","37785","37785","Jonas Bodin","7","177","0","Running","-03.669","0","","1:26.634","1:25.054","2","14","0","0","100","0"
"3","93","Ferrari 488 GTE","0","Hosted All Cars Class","312061","312061","Albin Nyström","2","310","0","Running","-08.180","0","","1:26.957","1:25.281","2","14","2","0","100","0"
"4","102","Porsche 911 RSR","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","9","82","0","Running","-08.633","0","","1:26.989","1:25.453","2","14","5","0","100","0"
"5","102","Porsche 911 RSR","0","Hosted All Cars Class","124781","124781","Marcus Simonsson","6","192","0","Running","-09.210","0","","1:27.030","1:25.642","4","14","2","0","100","0"
"6","102","Porsche 911 RSR","0","Hosted All Cars Class","91787","91787","Philip Johansson","1","220","0","Running","-09.677","7","","1:27.064","1:25.951","5","14","2","0","100","0"
"7","102","Porsche 911 RSR","0","Hosted All Cars Class","246119","246119","Tomas Andersson","16","119","0","Running","-11.558","0","","1:27.197","1:26.027","6","14","0","0","100","0"
"8","102","Porsche 911 RSR","0","Hosted All Cars Class","248617","248617","Anders Wallgren","17","19","0","Running","-19.051","0","","1:27.732","1:26.559","11","14","0","0","100","0"
"9","93","Ferrari 488 GTE","0","Hosted All Cars Class","175014","175014","Joachim Ljunggren","22","64","0","Running","-20.228","0","","1:27.816","1:26.341","13","14","8","0","100","0"
"10","102","Porsche 911 RSR","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","11","28","0","Running","-22.355","0","","1:27.969","1:26.361","4","14","8","0","100","0"
"11","102","Porsche 911 RSR","0","Hosted All Cars Class","231076","231076","Mikael Engstroem","5","100","0","Running","-22.562","0","","1:27.134","1:25.245","4","14","4","0","100","0"
"12","92","Ford GT - 2017","0","Hosted All Cars Class","122653","122653","Joel Voxberg","29","21","0","Running","-26.764","0","","1:28.282","1:26.517","5","14","8","0","100","0"
"13","93","Ferrari 488 GTE","0","Hosted All Cars Class","80693","80693","Mattias Norling","25","8","0","Running","-35.808","0","","1:28.929","1:26.689","3","14","12","0","100","0"
"14","102","Porsche 911 RSR","0","Hosted All Cars Class","253695","253695","Tommy Lindkvist","12","13","0","Running","-40.437","0","","1:29.260","1:27.509","11","14","1","0","100","0"
"15","102","Porsche 911 RSR","0","Hosted All Cars Class","290615","290615","Jonas Simonsson","26","3","0","Running","-45.167","0","","1:29.597","1:26.798","5","14","6","0","100","0"
"16","102","Porsche 911 RSR","0","Hosted All Cars Class","115216","115216","Karl-Johan Hagelin","18","214","0","Running","-57.692","0","","1:28.313","1:26.743","3","14","6","0","100","0"
"17","102","Porsche 911 RSR","0","Hosted All Cars Class","230406","230406","Fredrik Stertman","19","87","0","Running","-1:23.676","0","","1:27.657","1:26.279","4","14","4","0","100","0"
"18","93","Ferrari 488 GTE","0","Hosted All Cars Class","210826","210826","Magnus Asp","23","2","29","Disqualified","-1 L","0","","1:30.505","1:26.427","5","13","9","0","100","0"
"19","92","Ford GT - 2017","0","Hosted All Cars Class","108438","108438","Kent Suroto","4","48","0","Running","-1 L","0","","1:27.878","1:26.362","10","13","6","0","100","0"
"20","102","Porsche 911 RSR","0","Hosted All Cars Class","278525","278525","Lars Rystedt","27","99","0","Running","-1 L","0","","1:35.945","1:30.055","8","13","4","0","100","0"
"21","102","Porsche 911 RSR","0","Hosted All Cars Class","331739","331739","Christopher Haverland","28","175","29","Disqualified","-5 L","0","","1:36.805","1:27.952","3","9","4","0","100","0"
"22","92","Ford GT - 2017","0","Hosted All Cars Class","216544","216544","Daniel Sollo","14","215","0","Running","-8 L","0","","5:32.723","1:33.611","3","6","9","0","100","0"
"23","92","Ford GT - 2017","0","Hosted All Cars Class","159550","159550","Robert B Eriksson","24","5","29","Disqualified","-9 L","0","","00.000","","","5","0","0","100","0"
"24","102","Porsche 911 RSR","0","Hosted All Cars Class","233357","233357","Ola Särnkvist","30","70","32","Disconnected","-12 L","0","","2:00.300","","","2","0","0","100","0"
