"Start Time","Track","Series","Hosted Session Name"
"2018.11.06 7:10 PM GMT","Autódromo José Carlos Pace - Grand Prix","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","102","Porsche 911 RSR","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","1","82","0","Running","-00.000","30","","1:31.210","1:29.107","2","30","3","0","100","0"
"2","93","Ferrari 488 GTE","0","Hosted All Cars Class","293441","293441","Andreas Dahlström","4","16","0","Running","-11.862","0","","1:31.606","1:29.883","4","30","14","0","100","0"
"3","102","Porsche 911 RSR","0","Hosted All Cars Class","124781","124781","Marcus Simonsson","3","192","0","Running","-13.049","0","","1:31.645","1:29.601","2","30","11","0","100","0"
"4","102","Porsche 911 RSR","0","Hosted All Cars Class","138213","138213","Victor Dravegard","2","23","0","Running","-14.225","0","","1:31.684","1:29.465","2","30","11","0","100","0"
"5","93","Ferrari 488 GTE","0","Hosted All Cars Class","292923","292923","Stellan Lindeberg","8","968","0","Running","-14.563","0","","1:31.695","1:30.342","2","30","10","0","100","0"
"6","93","Ferrari 488 GTE","0","Hosted All Cars Class","59177","59177","Andreas Olsson","6","15","0","Running","-17.331","0","","1:31.788","1:30.119","4","30","6","0","100","0"
"7","93","Ferrari 488 GTE","0","Hosted All Cars Class","37785","37785","Jonas Bodin","5","177","0","Running","-19.559","0","","1:31.862","1:29.671","2","30","8","0","100","0"
"8","93","Ferrari 488 GTE","0","Hosted All Cars Class","175014","175014","Joachim Ljunggren","9","64","0","Running","-25.271","0","","1:32.052","1:30.215","2","30","6","0","100","0"
"9","102","Porsche 911 RSR","0","Hosted All Cars Class","231076","231076","Mikael Engstroem","10","100","0","Running","-27.057","0","","1:32.112","1:30.540","3","30","10","0","100","0"
"10","93","Ferrari 488 GTE","0","Hosted All Cars Class","143617","143617","Henrik Lindoff","15","36","0","Running","-33.154","0","","1:32.315","1:30.382","2","30","10","0","100","0"
